Repository,Decision,Tier,Priority,Status,Confidence,Integration_Plan,Analysis_Date,URL,Type,Category,Next_Action,Workshop_Path
SimCLR,RESEARCH,3,medium,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/sthalles/SimCLR,external_repo,self_supervised,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/SimCLR
byol-pytorch,RESEARCH,3,medium,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/lucidrains/byol-pytorch,external_repo,self_supervised,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/byol-pytorch
avalanche,RESEARCH,2,medium,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/ContinualAI/avalanche,external_repo,continual_learning,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/avalanche
avalanche-rl,RESEARCH,3,medium,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/ContinualAI/avalanche-rl,external_repo,continual_learning,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/avalanche-rl
continual-learning-baselines,RESEARCH,3,medium,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/GMvandeVen/continual-learning,external_repo,continual_learning,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/continual-learning-baselines
ContinualEvaluation,RESEARCH,3,medium,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/continual-ai/continual-evaluation,external_repo,evaluation,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/ContinualEvaluation
deep-dive-ai-mlx,RESEARCH,4,low,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/neoneye/deep-dive-ai-mlx,external_repo,exploration,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/deep-dive-ai-mlx
awesome-ChatGPT-repositories,RESEARCH,4,low,decision_complete,70%,Deep_Dive_Research_Required,2025-06-19,https://github.com/taishi-i/awesome-ChatGPT-repositories,external_repo,reference,Start_external-tools-research,/Users/jean-patricksmith/lev/workshop/intake/awesome-ChatGPT-repositories
dreamerv3,RESEARCH,2,medium,moved_retroactively,75%,Research_Integration_Required,2025-06-19,https://github.com/danijar/dreamerv3,moved_repo,reinforcement_learning,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/dreamerv3
ijepa,RESEARCH,2,medium,moved_retroactively,80%,Research_Integration_Required,2025-06-19,https://github.com/facebookresearch/ijepa,moved_repo,vision_model,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/ijepa
LLaVA,IMPLEMENT,2,high,moved_retroactively,85%,Vision_Language_Integration,2025-06-19,https://github.com/haotian-liu/LLaVA,moved_repo,vision_language,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/LLaVA
LumenPallidium-jepa,RESEARCH,3,medium,moved_retroactively,70%,Research_Integration_Required,2025-06-19,https://github.com/LumenPallidium/jepa,moved_repo,vision_model,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/LumenPallidium-jepa
mae,RESEARCH,2,medium,moved_retroactively,80%,Self_Supervised_Integration,2025-06-19,https://github.com/facebookresearch/mae,moved_repo,vision_model,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/mae
Sealing,RESEARCH,3,medium,moved_retroactively,70%,Research_Integration_Required,2025-06-19,https://github.com/Sealing/Sealing,moved_repo,self_supervised,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/Sealing
swav,RESEARCH,2,medium,moved_retroactively,75%,Self_Supervised_Integration,2025-06-19,https://github.com/facebookresearch/swav,moved_repo,self_supervised,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/swav
vicreg,RESEARCH,2,medium,moved_retroactively,75%,Self_Supervised_Integration,2025-06-19,https://github.com/facebookresearch/vicreg,moved_repo,self_supervised,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/vicreg
vit-pytorch,RESEARCH,2,medium,moved_retroactively,80%,Vision_Transformer_Integration,2025-06-19,https://github.com/lucidrains/vit-pytorch,moved_repo,vision_model,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/vit-pytorch
vjepa2,RESEARCH,2,medium,moved_retroactively,80%,Video_Understanding_Integration,2025-06-19,https://github.com/facebookresearch/vjepa2,moved_repo,vision_model,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/vjepa2
Voyager,RESEARCH,2,medium,moved_retroactively,75%,Agent_Framework_Integration,2025-06-19,https://github.com/MineDojo/Voyager,moved_repo,agent_system,Analyze_integration_options,/Users/jean-patricksmith/lev/workshop/intake/Voyager
