Project,Directory,Current_Tier_Numeric,Semantic_Tier,LLM_First_Score,Sovereignty_Score,Integration_Complexity,Strategic_Value,Weighted_Score,Decision,Timeline_Weeks,Status,Notes
Windows MCP,Windows-MCP,2,ADVANCED-STABLE,0.80,0.85,0.70,0.60,0.75,adapt_and_integrate,3-6,pending,"Windows-specific MCP server"
Apple MCP,apple-mcp,2,ADVANCED-STABLE,0.85,0.90,0.75,0.65,0.79,adapt_and_integrate,3-6,pending,"Apple ecosystem integration"
Neovis.js,neovis.js,3,EMERGING-VIABLE,0.65,0.80,0.60,0.70,0.67,adapt_and_integrate,4-8,pending,"Graph visualization"
DeepChat,deepchat,3,EMERGING-VIABLE,0.70,0.75,0.65,0.75,0.71,adapt_and_integrate,4-8,pending,"Chat interface framework"
DevContext,devcontext,2,ADVANCED-STABLE,0.80,0.85,0.75,0.70,0.78,adapt_and_integrate,3-6,pending,"Development context management"
Repomix,repomix,2,ADVANCED-STABLE,0.85,0.90,0.80,0.75,0.82,adopt_immediately,2-4,pending,"Repository packaging tool"
Slack MCP,slack-mcp,2,ADVANCED-STABLE,0.80,0.70,0.75,0.70,0.75,adapt_and_integrate,3-6,pending,"Slack integration"
MCP Atlassian,mcp-atlassian,2,ADVANCED-STABLE,0.75,0.65,0.70,0.75,0.72,adapt_and_integrate,3-6,pending,"Atlassian tool integration"
MCP Boilerplate,mcp-boilerplate,2,ADVANCED-STABLE,0.85,0.85,0.80,0.60,0.78,adapt_and_integrate,3-6,pending,"MCP development template"
MCP Graphiti,mcp-graphiti,2,ADVANCED-STABLE,0.85,0.75,0.75,0.85,0.80,adopt_immediately,2-4,pending,"Graphiti MCP integration"
MCP Memory,mcp-memory,2,ADVANCED-STABLE,0.80,0.80,0.70,0.80,0.78,adapt_and_integrate,3-6,pending,"Memory persistence MCP"
MCP Use,mcp-use,3,EMERGING-VIABLE,0.70,0.75,0.65,0.65,0.69,adapt_and_integrate,4-8,pending,"MCP usage patterns"
Memento MCP,memento-mcp,2,ADVANCED-STABLE,0.75,0.70,0.70,0.75,0.73,adapt_and_integrate,3-6,pending,"Memory and note-taking"
N8N Nodes MCP,n8n-nodes-mcp,3,EMERGING-VIABLE,0.65,0.60,0.60,0.70,0.63,adapt_and_integrate,4-8,pending,"N8N workflow integration"
Remote MCP Server,remote-mcp-server-authless,2,ADVANCED-STABLE,0.80,0.60,0.75,0.65,0.71,adapt_and_integrate,3-6,pending,"Remote MCP deployment"
Cursor Figma MCP,cursor-talk-to-figma-mcp,3,EMERGING-VIABLE,0.70,0.70,0.65,0.70,0.69,adapt_and_integrate,4-8,pending,"Figma integration"
MCP Quantum Server,MCP-Quantum-Server,6,PROTOTYPE-STAGE,0.30,0.70,0.35,0.50,0.41,research_only,16+,pending,"Quantum computing integration"
Anything LLM,anything-llm,3,EMERGING-VIABLE,0.65,0.75,0.60,0.75,0.68,adapt_and_integrate,4-8,pending,"Universal LLM interface"
NextLevel Research,nextlevel,1,PRODUCTION-READY,0.95,0.90,0.85,0.90,0.90,adopt_immediately,1-2,completed,"8-tier research methodology"AutoGPT,AutoGPT,1,PRODUCTION-READY,0.90,0.90,0.85,0.90,0.89,adopt_immediately,1-2,pending,"Autonomous agent system"
skyvern,skyvern,1,PRODUCTION-READY,0.90,0.85,0.85,0.90,0.88,adopt_immediately,1-2,pending,"Web automation agent"
llama3,llama3,2,ADVANCED-STABLE,0.85,0.85,0.75,0.85,0.83,adopt_immediately,2-4,pending,"Meta foundation model"
v-jepa,v-jepa,2,ADVANCED-STABLE,0.85,0.85,0.70,0.85,0.82,adopt_immediately,2-4,pending,"Video understanding"
dino,dino,2,ADVANCED-STABLE,0.85,0.85,0.70,0.85,0.82,adopt_immediately,2-4,pending,"Vision model"
dinov2,dinov2,2,ADVANCED-STABLE,0.85,0.85,0.70,0.85,0.82,adopt_immediately,2-4,pending,"Improved vision model"
gemma,gemma,2,ADVANCED-STABLE,0.85,0.85,0.75,0.85,0.83,adopt_immediately,2-4,pending,"Google foundation model"
SimMIM,SimMIM,2,ADVANCED-STABLE,0.85,0.85,0.70,0.85,0.82,adopt_immediately,2-4,pending,"Masked modeling"
SEAL,SEAL,3,EMERGING-VIABLE,0.75,0.75,0.65,0.75,0.73,adapt_and_integrate,4-8,pending,"Research framework"
SimCLR,SimCLR,3,EMERGING-VIABLE,0.75,0.75,0.65,0.75,0.73,adapt_and_integrate,4-8,pending,"Self-supervised learning"
byol-pytorch,byol-pytorch,3,EMERGING-VIABLE,0.75,0.75,0.65,0.75,0.73,adapt_and_integrate,4-8,pending,"BYOL implementation"
avalanche,avalanche,4,RESEARCH-READY,0.70,0.70,0.60,0.70,0.68,adapt_and_integrate,6-12,pending,"Continual learning"
continual-learning-baselines,continual-learning-baselines,4,RESEARCH-READY,0.70,0.70,0.60,0.70,0.68,adapt_and_integrate,6-12,pending,"CL baselines"
avalanche-rl,avalanche-rl,4,RESEARCH-READY,0.70,0.70,0.60,0.70,0.68,adapt_and_integrate,6-12,pending,"CL + RL"
ContinualEvaluation,ContinualEvaluation,4,RESEARCH-READY,0.70,0.70,0.60,0.70,0.68,adapt_and_integrate,6-12,pending,"CL evaluation"
infinite-agentic-loop,infinite-agentic-loop,5,EXPERIMENTAL-PROMISING,0.65,0.65,0.55,0.65,0.63,extract_patterns,8-16,pending,"Existing project"
deep-dive-ai-mlx,deep-dive-ai-mlx,6,PROTOTYPE-STAGE,0.60,0.60,0.50,0.60,0.58,reference_only,12+,pending,"MLX exploration"
awesome-ChatGPT-repositories,awesome-ChatGPT-repositories,6,PROTOTYPE-STAGE,0.60,0.60,0.50,0.60,0.58,reference_only,12+,pending,"Resource list"
